id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
1738f02a-4c58-4aed-808a-8193eba97080,Sweet Relish,Sweet Relish,EBD-698,Pantry,Wholesale Club  - 014,Dry Storage,Kgs,0.75,0,4.6533,0,,,True
34d18b30-07c7-42f0-b403-93b7cf263e2a,T&T Buckwheat Soba Noodles,T&T Buckwheat Soba Noodles,EBD-2421,Pantry,T & T - 013,No Category - 020,Kgs,0.91,0,6.5824,0,,,True
de8e22a7-6a9b-4daf-9b89-2ddf69d3596c,Table Salt,Table Salt,EBD-147,Pantry,Wholesale Club  - 014,Misc Bulk Shelf - 019,Kgs,20,0,0.4245,19.2436,,,True
d2d62c48-2513-4f54-be3d-c62a6f192613,Tahini (TAMAM Brand),Tahini (TAMAM Brand),EBD-64,Pantry,Wholesale Club  - 014,Oils / Vinegars Shelf - 022,Kgs,18,0,6.1106,0,,,True
a4dda489-120b-4d5e-867c-d488a9440461,Tavolini Orzo Pasta,Tavolini Orzo Pasta,1247963,Pantry,GFS - 003,Starches / Gf Shelf - 029,Kgs,9.07,0,5.3385,0,,,True
f39df7ff-b9ba-4733-969b-2ea4ddf3117d,Tavolini Sliced Green Olives,Tavolini Sliced Green Olives,4353106,Pantry,GFS - 003,No Category - 020,Kgs,0.9,0,10.5556,0,,,True
335e1bbd-f804-42f5-9b26-7460e5e75b38,Tavolini Sundried Tomato,Tavolini Sundried Tomato,1488324,Pantry,GFS - 003,No Category - 020,Kgs,11.25,0,10.4756,5.1964,,,True
139c99e6-a48a-47dc-a2a5-59eac03fbd1c,Tempeh,Tempeh,EBD-1985,Pantry,Vegan Supply - 010,No Category - 020,Kgs,4.5,0,10.4422,0,,,True
22b920a9-021f-4d61-aa8f-9bbbf80a8ef7,Tomato Paste,Tomato Paste,1162738,Pantry,GFS - 003,Canned Veg Shelf - 007,Kgs,17.04,0,3.2512,4.9728,,,True
03b51192-5574-4a03-b8d2-98929a179847,"Tomatoes, Crushed, In Puree","Tomatoes, Crushed, In Puree",2898605,Pantry,GFS - 003,(old) Canned Goods - 001,Kgs,17.04,0,3.7201,0,,,True
